date,mean_date_no,original_date_no,date_no,sample_id,fish_prey_stage,sample_mg_dm,sample_mg_dm01,site,fish_species,prey_stage
2019-06-06,31.691419141914192,3,-28.691419141914192,31,Cyprinella spiloptera_l,0.641579774514346,0.651579774514346,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,31,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-06,31.691419141914192,3,-28.691419141914192,32,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,32,Cyprinella spiloptera_l,0.641579774514346,0.651579774514346,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,32,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-06,31.691419141914192,3,-28.691419141914192,33,Cyprinella spiloptera_a,0,0.01,burbank,Cyprinella spiloptera,a
2019-06-06,31.691419141914192,3,-28.691419141914192,33,Cyprinella spiloptera_l,0,0.01,burbank,Cyprinella spiloptera,l
2019-06-06,31.691419141914192,3,-28.691419141914192,33,Cyprinella spiloptera_p,0,0.01,burbank,Cyprinella spiloptera,p
2019-06-07,31.691419141914192,4,-27.691419141914192,34,Semotilus atromaculatus_a,0,0.01,spirit mound,Semotilus atromaculatus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,34,Semotilus atromaculatus_l,0,0.01,spirit mound,Semotilus atromaculatus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,34,Semotilus atromaculatus_p,0,0.01,spirit mound,Semotilus atromaculatus,p
2019-06-07,31.691419141914192,4,-27.691419141914192,35,Semotilus atromaculatus_a,0,0.01,spirit mound,Semotilus atromaculatus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,35,Semotilus atromaculatus_l,2.566319098057384,2.576319098057384,spirit mound,Semotilus atromaculatus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,35,Semotilus atromaculatus_p,0,0.01,spirit mound,Semotilus atromaculatus,p
2019-06-06,31.691419141914192,3,-28.691419141914192,36,Ameiurus melas_a,0,0.01,little bridge,Ameiurus melas,a
2019-06-06,31.691419141914192,3,-28.691419141914192,36,Ameiurus melas_l,10.265276392229536,10.275276392229536,little bridge,Ameiurus melas,l
2019-06-06,31.691419141914192,3,-28.691419141914192,36,Ameiurus melas_p,0,0.01,little bridge,Ameiurus melas,p
2019-06-07,31.691419141914192,4,-27.691419141914192,37,Notropis stramineus_a,0,0.01,spirit mound,Notropis stramineus,a
2019-06-07,31.691419141914192,4,-27.691419141914192,37,Notropis stramineus_l,0.641579774514346,0.651579774514346,spirit mound,Notropis stramineus,l
2019-06-07,31.691419141914192,4,-27.691419141914192,37,Notropis stramineus_p,0,0.01,spirit mound,Notropis stramineus,p
2019-06-07,31.691419141914192,4,-27.691419141914192,38,Etheostoma nigrum_a,0,0.01,spirit mound,Etheostoma nigrum,a
2019-06-07,31.691419141914192,4,-27.691419141914192,38,Etheostoma nigrum_l,3.849478647086076,3.8594786470860756,spirit mound,Etheostoma nigrum,l
2019-06-07,31.691419141914192,4,-27.691419141914192,38,Etheostoma nigrum_p,0,0.01,spirit mound,Etheostoma nigrum,p
